index,random_latitude,random_longitude,snapped_latitude,snapped_longitude,snap_distance_m,experiment_id,incident_size,amb_velocity,uav_velocity,total_samples,random_seed,is_use_time,uav_size,scenario_gen_time_sec,simulation_time_sec,api_call_count,status,failure_reason,평균 시나리오 생성 시간(초),평균 시뮬레이션 실행 시간(초),평균 API 호출 수,전체 좌표 수,실험 성공 수,성공률(%)
714,36.30687008,127.3664317,36.306802,127.366233,19.3492651,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,36.18,0.68,35,success,,,,,,,
715,36.40845101,127.4566964,36.408322,127.456144,51.47024426,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,39.14,0.7,38,success,,,,,,,
716,36.2810671,127.2829485,36.280966,127.280721,199.9850203,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,37.14,0.69,36,success,,,,,,,
717,36.3868076,127.2919755,36.38679,127.292035,5.671768059,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,38.09,0.68,37,success,,,,,,,
718,36.33120035,127.3759054,36.331291,127.375686,22.08712436,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,37.13,0.69,36,success,,,,,,,
719,36.25392805,127.401672,36.253899,127.401649,3.831434629,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,36.11,0.68,35,success,,,,,,,
720,36.33535467,127.427981,36.335521,127.427852,21.80953799,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,37.16,0.7,36,success,,,,,,,
721,36.27454141,127.4801861,36.276055,127.481039,184.8551171,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,37.13,0.69,36,success,,,,,,,
722,36.2952802,127.347013,36.296043,127.344843,212.1673296,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,37.44,0.68,36,success,,,,,,,
723,36.33103006,127.4528562,36.330382,127.453891,117.4117315,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,37.16,0.7,36,success,,,,,,,
724,36.33449717,127.4269996,36.33461,127.426907,15.03808119,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,37.84,0.7,36,success,,,,,,,
725,36.41857866,127.4796027,36.418473,127.479634,12.07795744,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,39.15,0.69,38,success,,,,,,,
726,36.40768271,127.2917502,36.407669,127.293322,140.6691122,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,38.95,0.67,37,success,,,,,,,
727,36.30628524,127.4156734,36.305559,127.414753,115.4275255,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,36.51,0.72,35,success,,,,,,,
728,36.39386123,127.4344655,36.393148,127.432974,155.279374,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,38.18,0.68,37,success,,,,,,,
729,36.45026454,127.4052697,36.450252,127.40533,5.568360018,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,38.84,0.69,37,success,,,,,,,
730,36.40483061,127.3961782,36.404831,127.39577,36.52890533,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,38.15,0.7,37,success,,,,,,,
731,36.30824924,127.3323023,36.308298,127.332386,9.257111795,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,38.12,0.67,37,success,,,,,,,
732,36.39665324,127.5326108,36.397054,127.531977,72.14030283,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,40.19,0.69,39,success,,,,,,,
733,36.35693621,127.3455473,36.35696,127.345553,2.693172367,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,39.18,0.71,38,success,,,,,,,
734,36.37644738,127.4043845,36.377011,127.403962,73.20067647,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,39.18,0.7,38,success,,,,,,,
735,36.35713401,127.3326535,36.357262,127.332698,14.78021941,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,39.14,0.68,38,success,,,,,,,
736,36.4651924,127.3675605,36.46531,127.36768,16.88961494,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,38.2,0.7,37,success,,,,,,,
737,36.37243867,127.4495644,36.371979,127.449469,51.82145784,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,40.16,0.68,39,success,,,,,,,
738,36.31955318,127.3469834,36.319553,127.347847,77.37272141,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,38.13,0.69,37,success,,,,,,,
739,36.34803943,127.4879555,36.347819,127.488528,56.82729867,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,38.24,0.69,37,success,,,,,,,
740,36.2975796,127.3548471,36.297513,127.354866,7.596398608,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,37.16,0.7,36,success,,,,,,,
741,36.21008033,127.3256688,36.210112,127.324795,78.47288634,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,36.12,0.68,35,success,,,,,,,
742,36.42658196,127.418405,36.426581,127.418361,3.942188471,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,40.12,0.68,39,success,,,,,,,
743,36.30882543,127.2711496,36.308639,127.270051,100.5984365,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,37.18,0.68,36,success,,,,,,,
744,36.23244221,127.3344249,36.232349,127.336635,198.4992327,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,36.13,0.7,35,success,,,,,,,
745,36.33364348,127.330541,36.332376,127.330534,140.9385195,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,37.16,0.68,36,success,,,,,,,
746,36.30207361,127.2945344,36.302,127.294327,20.3071595,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,38.01,0.68,36,success,,,,,,,
747,36.25308803,127.3061041,36.253134,127.306142,6.136716056,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,36.16,0.69,35,success,,,,,,,
748,36.2772295,127.4125888,36.276857,127.41266,41.90827186,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,37.12,0.68,36,success,,,,,,,
749,36.30985976,127.2615563,36.309559,127.262081,57.6995972,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,42.89,0.7,36,success,,,,,,,
750,36.3567308,127.3190218,36.356992,127.319665,64.50644711,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,38.14,0.7,37,success,,,,,,,
751,36.37029877,127.2921226,36.370091,127.291693,44.86533574,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,38.15,0.69,37,success,,,,,,,
752,36.31610497,127.4442294,36.316105,127.444216,1.199391964,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,41.55,0.69,36,success,,,,,,,
753,36.26435769,127.2925214,36.26431,127.292529,5.346310172,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,37.16,0.69,36,success,,,,,,,
754,36.20685534,127.3413797,36.206661,127.340999,40.41627998,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,36.18,0.68,35,success,,,,,,,
755,36.36759667,127.2902055,36.368335,127.290455,85.08456496,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,38.12,0.71,37,success,,,,,,,
756,36.3100497,127.3025645,36.310079,127.302424,13.00610884,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,37.15,0.67,36,success,,,,,,,
757,36.37113294,127.3575114,36.371456,127.35768,38.96671676,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,38.17,0.71,37,success,,,,,,,
758,36.42215535,127.3367509,36.420948,127.337397,146.1695586,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,38.16,0.68,37,success,,,,,,,
759,36.25681293,127.2855039,36.256899,127.285501,9.574465599,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,37.2,0.67,36,success,,,,,,,
